rm_item_desc;date;amount_rs_crore;prompts_time_1;sequence
RM2.1.1) RBI's Claims on - Government (net);8/17/2001;156826;8/17/2001;1156
RM2.1.1) RBI's Claims on - Government (net);1/4/2002;149004;1/4/2002;1156
RM2.1.1) RBI's Claims on - Government (net);1/11/2002;151758;1/11/2002;1156
RM2.1.1) RBI's Claims on - Government (net);1/18/2002;148559;1/18/2002;1156
RM2.1.1) RBI's Claims on - Government (net);1/25/2002;152460;1/25/2002;1156
RM2.1.1) RBI's Claims on - Government (net);2/1/2002;146543;2/1/2002;1156
RM2.1.1) RBI's Claims on - Government (net);2/8/2002;155765;2/8/2002;1156
RM2.1.1) RBI's Claims on - Government (net);2/15/2002;146293;2/15/2002;1156
RM2.1.1) RBI's Claims on - Government (net);2/22/2002;151350;2/22/2002;1156
RM2.1.1) RBI's Claims on - Government (net);3/1/2002;150596;3/1/2002;1156
RM2.1.1) RBI's Claims on - Government (net);3/8/2002;152148;3/8/2002;1156
RM2.1.1) RBI's Claims on - Government (net);3/15/2002;152179;3/15/2002;1156
RM2.1.1) RBI's Claims on - Government (net);3/22/2002;141768;3/22/2002;1156
RM2.1.1) RBI's Claims on - Government (net);3/29/2002;147175;3/29/2002;1156
RM2.1.1) RBI's Claims on - Government (net);4/5/2002;144036;4/5/2002;1156
RM2.1.1) RBI's Claims on - Government (net);4/12/2002;153725;4/12/2002;1156
RM2.1.1) RBI's Claims on - Government (net);4/19/2002;160102;4/19/2002;1156
RM2.1.1) RBI's Claims on - Government (net);4/26/2002;155562;4/26/2002;1156
RM2.1.1) RBI's Claims on - Government (net);5/3/2002;161069;5/3/2002;1156
RM2.1.1) RBI's Claims on - Government (net);5/10/2002;163054;5/10/2002;1156
RM2.1.1) RBI's Claims on - Government (net);5/17/2002;169065;5/17/2002;1156
RM2.1.1) RBI's Claims on - Government (net);5/24/2002;169699;5/24/2002;1156
RM2.1.1) RBI's Claims on - Government (net);5/31/2002;159701;5/31/2002;1156
RM2.1.1) RBI's Claims on - Government (net);6/7/2002;164653;6/7/2002;1156
RM2.1.1) RBI's Claims on - Government (net);6/14/2002;166991;6/14/2002;1156
RM2.1.1) RBI's Claims on - Government (net);6/21/2002;163492;6/21/2002;1156
RM2.1.1) RBI's Claims on - Government (net);6/28/2002;147966;6/28/2002;1156
RM2.1.1) RBI's Claims on - Government (net);7/5/2002;164117;7/5/2002;1156
RM2.1.1) RBI's Claims on - Government (net);7/12/2002;169412;7/12/2002;1156
RM2.1.1) RBI's Claims on - Government (net);7/19/2002;148552;7/19/2002;1156
RM2.1.1) RBI's Claims on - Government (net);7/26/2002;155332;7/26/2002;1156
RM2.1.1) RBI's Claims on - Government (net);8/2/2002;144182;8/2/2002;1156
RM2.1.1) RBI's Claims on - Government (net);8/9/2002;154137;8/9/2002;1156
RM2.1.1) RBI's Claims on - Government (net);8/16/2002;136984;8/16/2002;1156
RM2.1.1) RBI's Claims on - Government (net);8/23/2002;134207;8/23/2002;1156
RM2.1.1) RBI's Claims on - Government (net);8/30/2002;119616;8/30/2002;1156
RM2.1.1) RBI's Claims on - Government (net);9/6/2002;140632;9/6/2002;1156
RM2.1.1) RBI's Claims on - Government (net);9/13/2002;127529;9/13/2002;1156
RM2.1.1) RBI's Claims on - Government (net);9/20/2002;128187;9/20/2002;1156
RM2.1.1) RBI's Claims on - Government (net);9/27/2002;129580;9/27/2002;1156
RM2.1.1) RBI's Claims on - Government (net);10/4/2002;124113;10/4/2002;1156
RM2.1.1) RBI's Claims on - Government (net);10/11/2002;124869;10/11/2002;1156
RM2.1.1) RBI's Claims on - Government (net);10/18/2002;120553;10/18/2002;1156
RM2.1.1) RBI's Claims on - Government (net);10/25/2002;125351;10/25/2002;1156
RM2.1.1) RBI's Claims on - Government (net);11/1/2002;142511;11/1/2002;1156
RM2.1.1) RBI's Claims on - Government (net);11/8/2002;128410;11/8/2002;1156
RM2.1.1) RBI's Claims on - Government (net);11/15/2002;130939;11/15/2002;1156
RM2.1.1) RBI's Claims on - Government (net);11/22/2002;121565;11/22/2002;1156
RM2.1.1) RBI's Claims on - Government (net);11/29/2002;118134;11/29/2002;1156
RM2.1.1.1) RBI's Claims on - Central Govt;1/4/2002;;1/4/2002;1157
RM2.1.1.1) RBI's Claims on - Central Govt;1/11/2002;;1/11/2002;1157
RM2.1.1.1) RBI's Claims on - Central Govt;1/18/2002;;1/18/2002;1157
RM2.1.1.1) RBI's Claims on - Central Govt;1/25/2002;;1/25/2002;1157
RM2.1.1.1) RBI's Claims on - Central Govt;2/1/2002;;2/1/2002;1157
RM2.1.1.1) RBI's Claims on - Central Govt;2/8/2002;;2/8/2002;1157
RM2.1.1.1) RBI's Claims on - Central Govt;2/15/2002;;2/15/2002;1157
RM2.1.1.1) RBI's Claims on - Central Govt;2/22/2002;;2/22/2002;1157
RM2.1.1.1) RBI's Claims on - Central Govt;3/1/2002;;3/1/2002;1157
RM2.1.1.1) RBI's Claims on - Central Govt;3/8/2002;;3/8/2002;1157
RM2.1.1.1) RBI's Claims on - Central Govt;3/15/2002;;3/15/2002;1157
RM2.1.1.1) RBI's Claims on - Central Govt;3/22/2002;;3/22/2002;1157
RM2.1.1.1) RBI's Claims on - Central Govt;3/29/2002;;3/29/2002;1157
RM2.1.1.1) RBI's Claims on - Central Govt;4/5/2002;;4/5/2002;1157
RM2.1.1.1) RBI's Claims on - Central Govt;4/12/2002;;4/12/2002;1157
RM2.1.1.1) RBI's Claims on - Central Govt;4/19/2002;;4/19/2002;1157
RM2.1.1.1) RBI's Claims on - Central Govt;4/26/2002;;4/26/2002;1157
RM2.1.1.1) RBI's Claims on - Central Govt;5/3/2002;;5/3/2002;1157
RM2.1.1.1) RBI's Claims on - Central Govt;5/10/2002;;5/10/2002;1157
RM2.1.1.1) RBI's Claims on - Central Govt;5/17/2002;;5/17/2002;1157
RM2.1.1.1) RBI's Claims on - Central Govt;5/24/2002;;5/24/2002;1157
RM2.1.1.1) RBI's Claims on - Central Govt;5/31/2002;;5/31/2002;1157
RM2.1.1.1) RBI's Claims on - Central Govt;6/7/2002;;6/7/2002;1157
RM2.1.1.1) RBI's Claims on - Central Govt;6/14/2002;;6/14/2002;1157
RM2.1.1.1) RBI's Claims on - Central Govt;6/21/2002;;6/21/2002;1157
RM2.1.1.1) RBI's Claims on - Central Govt;6/28/2002;;6/28/2002;1157
RM2.1.1.1) RBI's Claims on - Central Govt;7/5/2002;;7/5/2002;1157
RM2.1.1.1) RBI's Claims on - Central Govt;7/12/2002;;7/12/2002;1157
RM2.1.1.1) RBI's Claims on - Central Govt;7/19/2002;;7/19/2002;1157
RM2.1.1.1) RBI's Claims on - Central Govt;7/26/2002;;7/26/2002;1157
RM2.1.1.1) RBI's Claims on - Central Govt;8/2/2002;;8/2/2002;1157
RM2.1.1.1) RBI's Claims on - Central Govt;8/9/2002;;8/9/2002;1157
RM2.1.1.1) RBI's Claims on - Central Govt;8/16/2002;;8/16/2002;1157
RM2.1.1.1) RBI's Claims on - Central Govt;8/23/2002;;8/23/2002;1157
RM2.1.1.1) RBI's Claims on - Central Govt;8/30/2002;;8/30/2002;1157
RM2.1.1.1) RBI's Claims on - Central Govt;9/6/2002;;9/6/2002;1157
RM2.1.1.1) RBI's Claims on - Central Govt;9/13/2002;;9/13/2002;1157
RM2.1.1.1) RBI's Claims on - Central Govt;9/20/2002;;9/20/2002;1157
RM2.1.1.1) RBI's Claims on - Central Govt;9/27/2002;;9/27/2002;1157
RM2.1.1.1) RBI's Claims on - Central Govt;10/4/2002;;10/4/2002;1157
